Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Valor,Moeda,Valor_anuncio,Tipo_anuncio,Valor_anuncio_float
Rua Oscar Pinheiro Coelho,Caxingui,São Paulo,110,2,1,3,R$ 620.000,R$,620.000,,620000.0
"Rua Tagipuru, 168 ",Barra Funda,São Paulo,170,4,3,2,R$ 1.600.000,R$,1.600.000,,1600000.0
Rua Américo Brasiliense,Alto da Boa Vista,São Paulo,340,4,6,7,R$ 2.200.000,R$,2.200.000,,2200000.0
Rua Catão,Vila Romana,São Paulo,235,3,4,3,R$ 1.280.000,R$,1.280.000,,1280000.0
,Vila Santos,São Paulo,114,3,1,3,R$ 510.000,R$,510.000,,510000.0
"Rua Conchilia, 383 ",Vila Albertina,São Paulo,300,4,6,4,R$ 1.600.000,R$,1.600.000,,1600000.0
"Rua Antônio Barbosa de Oliveira, 55 ",Vila João Batista,São Paulo,571,3,2,3,R$ 987.000,R$,987.000,,987000.0
"Rua João Pereira Santos, 144 ",Jardim Nova Germania,São Paulo,57,3,1,5,R$ 350.000,R$,350.000,,350000.0
Rua Monte Cardoso,Vila Antonieta,São Paulo,150,3,2,2,R$ 600.000,R$,600.000,,600000.0
,Jardim Europa,São Paulo,693,4,5,6,R$ 16.000.000,R$,16.000.000,,16000000.0
"Rua Prisciliana Duarte, 250 ",Jardim da Saúde,São Paulo,257,3,4,4,R$ 1.600.000,R$,1.600.000,,1600000.0
Rua Agostinho da Mota,Chácara Santo Antônio (Zona Leste),São Paulo,140,3,4,4,R$ 900.000,R$,900.000,,900000.0
,Butantã,São Paulo,299,4,5,3,R$ 2.140.000,R$,2.140.000,,2140000.0
Rua Professor João Marinho,Vila Mariana,São Paulo,170,3,4,2,R$ 1.490.000,R$,1.490.000,,1490000.0
Rua Pereira Caldas,Jardim da Glória,São Paulo,200,3,2,2,R$ 1.000.000,R$,1.000.000,,1000000.0
Rua Princesa Leopoldina,Alto da Lapa,São Paulo,100,2,2,1,R$ 940.000,R$,940.000,,940000.0
,Jardim Petrópolis,São Paulo,243,5,4,2,R$ 1.390.000,R$,1.390.000,,1390000.0
,Vila Mariana,São Paulo,228,4,5,3,R$ 2.200.000,R$,2.200.000,,2200000.0
"Avenida Moaci, 1445 ",Planalto Paulista,São Paulo,420,5,7,6,R$ 1.900.000,R$,1.900.000,,1900000.0
,Vila Aparecida,São Paulo,168,3,1,2,R$ 621.000,R$,621.000,,621000.0
,Siciliano,São Paulo,300,3,3,3,R$ 1.300.000,R$,1.300.000,,1300000.0
"Estrada Velha da Penha, 120 ",Tatuapé,São Paulo,110,2,1,2,R$ 450.000,R$,450.000,,450000.0
Rua Bernardo Alvarenga,Caxingui,São Paulo,350,3,4,2,R$ 1.969.000,R$,1.969.000,,1969000.0
Rua Doutor Antônio Gontijo de Carvalho,Jardim Cordeiro,São Paulo,1200,6,7,8,R$ 6.360.000,R$,6.360.000,,6360000.0
Rua Judith,Vila Madalena,São Paulo,146,3,2,2,R$ 1.550.000,R$,1.550.000,,1550000.0
Rua Catão,Vila Romana,São Paulo,130,2,2,1,R$ 688.000,R$,688.000,,688000.0
,Alto da Lapa,São Paulo,170,4,5,6,R$ 1.700.000,R$,1.700.000,,1700000.0
Rua Manuel Francisco Alves,Parque Casa de Pedra,São Paulo,232,8,3,1,R$ 500.000,R$,500.000,,500000.0
Rua Luís Dib Zogaib,Morumbi,São Paulo,443,4,6,8,R$ 1.800.000,R$,1.800.000,,1800000.0
Rua Pamplona,Jardim Paulista,São Paulo,156,4,4,2,R$ 2.340.000,R$,2.340.000,,2340000.0
"Rua Alexandre Von Humboldt, 1 ",Praia Azul,São Paulo,250,4,4,3,R$ 580.000,R$,580.000,,580000.0
"Rua Boiçununga, 273 ",São João Clímaco,São Paulo,200,3,3,2,R$ 570.000,R$,570.000,,570000.0
Rua Doutor Valentino Sola,Jardim da Glória,São Paulo,231,4,5,6,R$ 1.650.000,R$,1.650.000,,1650000.0
,Jardim Guedala,São Paulo,420,3,6,5,R$ 3.500.000,R$,3.500.000,,3500000.0
Rua Serenata,Vila Prudente,São Paulo,140,3,3,2,R$ 490.000,R$,490.000,,490000.0
Rua Eduardo da Silva Magalhães,Parque Continental,São Paulo,350,5,7,7,R$ 2.500.000,R$,2.500.000,,2500000.0
"Rua João Pedro, 165 ",Capela do Socorro,São Paulo,120,3,3,3,R$ 500.000,R$,500.000,,500000.0
,Planalto Paulista,São Paulo,361,4,6,5,R$ 1.490.000,R$,1.490.000,,1490000.0
Rua Quirino Pucca,Vila Romana,São Paulo,65,1,1,2,R$ 480.000,R$,480.000,,480000.0
Rua Guira-Guainumbi,Parque Santa Madalena,São Paulo,180,4,2,1,R$ 300.000,R$,300.000,,300000.0
Rua Teviot,Vila Nova Conceição,São Paulo,363,4,6,4,R$ 5.100.000,R$,5.100.000,,5100000.0
"Rua Coronel Melo de Oliveira, 704 ",Perdizes,São Paulo,184,3,3,2,R$ 1.272.000,R$,1.272.000,,1272000.0
,Jardim da Glória,São Paulo,230,3,3,4,R$ 1.500.000,R$,1.500.000,,1500000.0
,Vila Ida,São Paulo,437,3,5,5,R$ 1.850.000,R$,1.850.000,,1850000.0
"Rua Amélia da Silveira, 44 ",Jardim Vivan,São Paulo,176,3,4,2,R$ 620.000,R$,620.000,,620000.0
"Rua Alberto Lohnhoff, 60 ",Lauzane Paulista,São Paulo,88,3,3,1,R$ 455.000,R$,455.000,,455000.0
Rua Itália,Jardim Europa,São Paulo,713,5,7,6,R$ 26.600.000,R$,26.600.000,,26600000.0
Rua Constantino de Sousa,Campo Belo,São Paulo,266,6,6,6,R$ 1.750.000,R$,1.750.000,,1750000.0
"Rua José Ubaldo Lomônaco, 173 ",Jardim da Glória,São Paulo,430,5,6,4,R$ 3.150.000,R$,3.150.000,,3150000.0
"Rua Bolívia, 200 ",Jardim América,São Paulo,1060,4,5,9,R$ 11.489.000,R$,11.489.000,,11489000.0
Rua Faustino Augusto César,Vila Marari,São Paulo,180,3,3,3,R$ 850.000,R$,850.000,,850000.0
,Cidade Jardim,São Paulo,600,4,6,4,R$ 2.200.000,R$,2.200.000,,2200000.0
Rua dos Macunis,Vila Madalena,São Paulo,180,4,4,4,R$ 2.400.000,R$,2.400.000,,2400000.0
"Rua Vergueiro, 5114 ",Cursino,São Paulo,113,3,2,2,R$ 570.000,R$,570.000,,570000.0
,Cidade Dutra,São Paulo,497,3,4,8,R$ 1.300.000,R$,1.300.000,,1300000.0
"Rua Joaquim Lima de Moraes, 5 ",Santo Amaro,São Paulo,224,3,4,2,R$ 1.500.000,R$,1.500.000,,1500000.0
"Rua Jorge Fares, 80 ",Jardim São Luís,São Paulo,127,3,1,2,R$ 540.000,R$,540.000,,540000.0
,Água Fria,São Paulo,190,3,4,4,R$ 750.000,R$,750.000,,750000.0
,Parque Boturussu,São Paulo,60,2,5,1,R$ 251.000,R$,251.000,,251000.0
,Belenzinho,São Paulo,124,4,3,1,R$ 595.000,R$,595.000,,595000.0
"Rua Antônio Sales de Camargo, 86 ",Bosque da Saúde,São Paulo,118,4,5,3,R$ 960.000,R$,960.000,,960000.0
Rua Croata,Vila Ipojuca,São Paulo,358,3,4,4,R$ 2.160.000,R$,2.160.000,,2160000.0
Rua Emílio Pedutti,Morumbi,São Paulo,546,4,7,6,R$ 3.290.000,R$,3.290.000,,3290000.0
"Rua Açaré, 63 ",Alto de Pinheiros,São Paulo,252,3,5,4,R$ 2.900.000,R$,2.900.000,,2900000.0
,Vila Ida,São Paulo,293,3,5,4,R$ 3.650.000,R$,3.650.000,,3650000.0
,Jardim Panorama,São Paulo,639,4,8,4,R$ 3.600.000,R$,3.600.000,,3600000.0
,Jardim Ampliação,São Paulo,160,3,4,3,R$ 860.000,R$,860.000,,860000.0
"Rua Cristiano Viana, 961 ",Cerqueira César,São Paulo,155,3,1,1,R$ 1.300.000,R$,1.300.000,,1300000.0
,Lauzane Paulista,São Paulo,80,2,1,2,R$ 374.500,R$,374.500,,374500.0
Rua Aguaçaí,Pari,São Paulo,180,3,4,1,R$ 750.000,R$,750.000,,750000.0
"Rua Muller Carioba, 153 ",Jardim da Saúde,São Paulo,230,3,2,3,R$ 660.000,R$,660.000,,660000.0
Rua Olímpia Lemes da Silva,Jardim das Vertentes,São Paulo,260,3,3,2,R$ 940.000,R$,940.000,,940000.0
,Vila Sabrina,São Paulo,500,8,5,1,R$ 990.000,R$,990.000,,990000.0
Rua Frederico Von Martius,Ipiranga,São Paulo,300,3,5,2,R$ 1.350.000,R$,1.350.000,,1350000.0
,Alto de Pinheiros,São Paulo,360,3,5,4,R$ 4.950.000,R$,4.950.000,,4950000.0
,Vila Olímpia,São Paulo,120,3,4,2,R$ 1.550.000,R$,1.550.000,,1550000.0
Rua Doutora Maria Augusta Saraiva,Vila Olímpia,São Paulo,120,3,2,2,R$ 1.550.000,R$,1.550.000,,1550000.0
Rua Doutor Fausto de Almeida Prado Penteado,Jardim Sílvia (Zona Oeste),São Paulo,1643,4,5,10,R$ 4.500.000,R$,4.500.000,,4500000.0
,Jardim Franca,São Paulo,381,4,4,6,R$ 1.250.000,R$,1.250.000,,1250000.0
Rua Banibás,Alto de Pinheiros,São Paulo,750,5,5,8,R$ 6.500.000,R$,6.500.000,,6500000.0
