Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Valor,Moeda,Valor_anuncio,Tipo_anuncio,Valor_anuncio_float
Rua Caropá,Vila Madalena,São Paulo,298,5,4,3,R$ 3.000.000,R$,3.000.000,,3000000.0
Praça Paul Harris,Indianópolis,São Paulo,600,6,4,4,R$ 5.500.000,R$,5.500.000,,5500000.0
,Boaçava,São Paulo,412,4,7,6,R$ 6.000.000,R$,6.000.000,,6000000.0
Rua Mário,Vila Romana,São Paulo,157,3,4,3,R$ 1.250.000,R$,1.250.000,,1250000.0
,Jardim Paulista,São Paulo,500,3,3,4,R$ 6.400.000,R$,6.400.000,,6400000.0
Rua Marcelino Champagnat,Jardim da Glória,São Paulo,600,5,8,5,R$ 2.980.000,R$,2.980.000,,2980000.0
,Jardim Europa,São Paulo,270,3,3,4,R$ 5.500.000,R$,5.500.000,,5500000.0
,Jardim Europa,São Paulo,186,3,5,4,R$ 4.700.000,R$,4.700.000,,4700000.0
"Rua Capanezinho, 195 ",Jardim Maria Duarte,São Paulo,180,2,2,4,R$ 460.000,R$,460.000,,460000.0
,Jardim Europa,São Paulo,805,3,5,7,R$ 18.000.000,R$,18.000.000,,18000000.0
Rua Pires de Oliveira,Chácara Santo Antônio (Zona Sul),São Paulo,261,4,2,2,R$ 2.100.000,R$,2.100.000,,2100000.0
,Jardim Panorama,São Paulo,745,4,3,6,R$ 2.700.000,R$,2.700.000,,2700000.0
Rua Mesquita,Vila Deodoro,São Paulo,267,3,5,4,R$ 1.600.000,R$,1.600.000,,1600000.0
Rua Açaré,Alto de Pinheiros,São Paulo,198,3,3,4,R$ 3.350.000,R$,3.350.000,,3350000.0
,Brooklin Paulista,São Paulo,505,3,5,3,R$ 3.500.000,R$,3.500.000,,3500000.0
Rua Polônia,Jardim Europa,São Paulo,491,3,4,2,R$ 3.200.000,R$,3.200.000,,3200000.0
Rua Charles Astor,Jardim Aurélia,São Paulo,195,3,2,3,R$ 1.800.000,R$,1.800.000,,1800000.0
"Alameda dos Indígenas, 364 ",Planalto Paulista,São Paulo,319,3,4,2,R$ 1.450.000,R$,1.450.000,,1450000.0
,Fazenda Morumbi,São Paulo,425,4,2,14,R$ 5.600.000,R$,5.600.000,,5600000.0
Rua Ingles de Sousa,Jardim da Glória,São Paulo,215,3,1,2,R$ 1.150.000,R$,1.150.000,,1150000.0
"Rua João José dos Santos, 116 ",Jardim Olympia,São Paulo,235,3,1,6,R$ 950.000,R$,950.000,,950000.0
Rua Paulo Bregaro,Vila Monumento,São Paulo,225,3,3,3,R$ 1.370.000,R$,1.370.000,,1370000.0
,Vila Suzana,São Paulo,157,4,4,2,R$ 950.000,R$,950.000,,950000.0
,Morumbi,São Paulo,830,4,5,6,R$ 9.000.000,R$,9.000.000,,9000000.0
Rua Baltazar Lisboa,Vila Mariana,São Paulo,141,3,2,1,R$ 990.000,R$,990.000,,990000.0
Rua Caravelas,Vila Mariana,São Paulo,239,3,2,1,R$ 1.850.000,R$,1.850.000,,1850000.0
Rua Comandante Ismael Guilherme,Jardim Luzitânia,São Paulo,605,4,8,6,R$ 12.000.000,R$,12.000.000,,12000000.0
Rua Jacira,Indianópolis,São Paulo,298,4,2,8,R$ 2.100.000,R$,2.100.000,,2100000.0
Rua Graham Bell,Santo Amaro,São Paulo,445,4,3,5,R$ 1.980.000,R$,1.980.000,,1980000.0
,Jardim Paulistano,São Paulo,455,3,4,4,R$ 9.500.000,R$,9.500.000,,9500000.0
Praça Renzo Pagliari,Cidade Jardim,São Paulo,1012,4,6,10,R$ 10.500.000,R$,10.500.000,,10500000.0
,Jardim Europa,São Paulo,805,3,5,8,R$ 23.600.000,R$,23.600.000,,23600000.0
,Vila Ida,São Paulo,458,3,2,4,R$ 2.000.000,R$,2.000.000,,2000000.0
Rua Leandro de Carvalho,Vila Monumento,São Paulo,173,4,5,1,R$ 1.300.000,R$,1.300.000,,1300000.0
Rua Professor Paulo Tavares,Vila Hamburguesa,São Paulo,190,3,5,3,R$ 1.100.000,R$,1.100.000,,1100000.0
,Jardim Paulistano,São Paulo,455,4,7,3,R$ 3.620.000,R$,3.620.000,,3620000.0
Rua GaSão Pauloar Fernandes,Vila Monumento,São Paulo,190,4,5,4,R$ 1.490.000,R$,1.490.000,,1490000.0
Rua Professor Serafim Orlandi,Jardim Vila Mariana,São Paulo,170,3,2,2,R$ 1.500.000,R$,1.500.000,,1500000.0
Rua Burgos,Parque Sevilha,São Paulo,130,3,3,2,R$ 650.000,R$,650.000,,650000.0
Rua Bragança,Pacaembu,São Paulo,500,3,4,8,R$ 2.420.000,R$,2.420.000,,2420000.0
Rua Doutor Carlos Norberto de Souza Aranha,Alto de Pinheiros,São Paulo,385,4,7,4,R$ 5.800.000,R$,5.800.000,,5800000.0
Rua Maria Leonete da Silva Nóbrega,Vila Ida,São Paulo,450,4,1,4,R$ 2.500.000,R$,2.500.000,,2500000.0
Rua Anadia,Aclimação,São Paulo,320,5,6,2,R$ 2.600.000,R$,2.600.000,,2600000.0
,Aclimação,São Paulo,180,3,3,4,R$ 2.200.000,R$,2.200.000,,2200000.0
,Jardim América,São Paulo,762,4,6,4,R$ 30.000.000,R$,30.000.000,,30000000.0
,Vila Ida,São Paulo,540,4,4,3,R$ 4.000.000,R$,4.000.000,,4000000.0
Rua Iraúna,Jardim Novo Mundo,São Paulo,220,4,3,4,R$ 2.800.000,R$,2.800.000,,2800000.0
Avenida Eugênio Bartolomai,Jardim Santa Helena,São Paulo,280,3,3,4,R$ 1.300.000,R$,1.300.000,,1300000.0
Avenida Albert Einstein,Jardim Leonor,São Paulo,472,4,3,6,R$ 2.900.000,R$,2.900.000,,2900000.0
,Alto de Pinheiros,São Paulo,293,4,7,5,R$ 5.950.000,R$,5.950.000,,5950000.0
,Lapa,São Paulo,237,4,3,4,R$ 1.300.000,R$,1.300.000,,1300000.0
Rua Basílio da Cunha,Vila Deodoro,São Paulo,172,3,3,2,R$ 1.300.000,R$,1.300.000,,1300000.0
Rua Emboabas,Brooklin Paulista,São Paulo,250,2,3,4,R$ 3.300.000,R$,3.300.000,,3300000.0
Rua Coronel Cabrita,Jardim da Glória,São Paulo,230,5,3,10,R$ 1.600.000,R$,1.600.000,,1600000.0
"Rua Pedrinhas, 167 ",Vila Sonia,São Paulo,400,3,4,4,R$ 4.800.000,R$,4.800.000,,4800000.0
Rua Cardeal Cagliori,Alto de Pinheiros,São Paulo,487,5,4,6,R$ 3.500.000,R$,3.500.000,,3500000.0
"Avenida Professor Fonseca Rodrigues, 0 ",Alto de Pinheiros,São Paulo,627,4,6,4,R$ 7.599.600,R$,7.599.600,,7599600.0
Rua Patrícios,Vila Brasílio Machado,São Paulo,120,2,2,2,R$ 450.000,R$,450.000,,450000.0
,Vila Progredior,São Paulo,620,4,9,4,R$ 2.000.000,R$,2.000.000,,2000000.0
,Jardim Marajoara,São Paulo,700,4,7,10,R$ 4.100.000,R$,4.100.000,,4100000.0
Rua Sérgio,Vila Marieta,São Paulo,198,3,4,3,R$ 1.100.000,R$,1.100.000,,1100000.0
"Rua Manduri, 0 ",Jardim Paulistano,São Paulo,740,5,6,5,R$ 9.800.000,R$,9.800.000,,9800000.0
Avenida Amarilis,Cidade Jardim,São Paulo,1000,5,6,8,R$ 5.800.000,R$,5.800.000,,5800000.0
Rua Santelmo,Jardim Luzitânia,São Paulo,600,4,8,4,R$ 12.000.000,R$,12.000.000,,12000000.0
Rua Realengo,Vila Madalena,São Paulo,113,3,3,2,R$ 1.050.000,R$,1.050.000,,1050000.0
,Jardim Guedala,São Paulo,416,4,6,6,R$ 2.500.000,R$,2.500.000,,2500000.0
,Jardim América,São Paulo,705,6,8,10,R$ 22.800.000,R$,22.800.000,,22800000.0
,Boaçava,São Paulo,415,3,3,3,R$ 4.300.000,R$,4.300.000,,4300000.0
,Jardim Paulista,São Paulo,255,4,3,6,R$ 8.000.000,R$,8.000.000,,8000000.0
Rua General Sena Vasconcelos,Jardim Guedala,São Paulo,325,3,6,3,R$ 3.000.000,R$,3.000.000,,3000000.0
Rua Júlio Rua Perez,Campo Belo,São Paulo,195,3,3,2,R$ 1.500.000,R$,1.500.000,,1500000.0
"Rua das Malvas, 216 ",Cidade Jardim,São Paulo,364,4,4,6,R$ 2.200.000,R$,2.200.000,,2200000.0
Rua Dom Lúcio de Sousa,Vila Gumercindo,São Paulo,177,4,4,1,R$ 799.000,R$,799.000,,799000.0
Rua Pampa,Cidade Vargas,São Paulo,277,3,2,3,R$ 900.000,R$,900.000,,900000.0
Rua Dom Tomás Costa e Lima,Vila Tramontano,São Paulo,600,3,5,8,R$ 4.990.000,R$,4.990.000,,4990000.0
Rua Engenheiro Isaac Milder,Vila Morumbi,São Paulo,120,1,2,1,R$ 650.000,R$,650.000,,650000.0
Rua Pedro Zonta Neto,Brooklin,São Paulo,150,3,3,2,R$ 1.780.000,R$,1.780.000,,1780000.0
,Santo Amaro,São Paulo,180,3,5,3,R$ 1.100.000,R$,1.100.000,,1100000.0
Rua Carlos Baptista de Magalhães,Jardim Prudência,São Paulo,253,4,5,3,R$ 2.200.000,R$,2.200.000,,2200000.0
Rua Amandaba,Jardim Prudência,São Paulo,271,3,4,4,R$ 1.200.000,R$,1.200.000,,1200000.0
Rua Américo Brasiliense,Alto da Boa Vista,São Paulo,370,4,3,3,R$ 2.750.000,R$,2.750.000,,2750000.0
Rua Doutor Paulo Dias,Aclimação,São Paulo,200,4,5,2,R$ 1.500.000,R$,1.500.000,,1500000.0
Rua Teodoro Ramos,Pacaembu,São Paulo,280,3,2,3,R$ 2.800.000,R$,2.800.000,,2800000.0
Rua Basílio da Cunha,Vila Deodoro,São Paulo,121,3,2,2,R$ 850.000,R$,850.000,,850000.0
Rua Guinle,Vila Monumento,São Paulo,321,3,2,5,R$ 2.490.000,R$,2.490.000,,2490000.0
,Pacaembu,São Paulo,280,4,2,3,R$ 2.900.000,R$,2.900.000,,2900000.0
"Rua Santa Rufina, 44 ",Jardim Santo Amaro,São Paulo,390,4,6,4,R$ 2.200.000,R$,2.200.000,,2200000.0
Rua Maracaí,Aclimação,São Paulo,300,4,1,3,R$ 2.600.000,R$,2.600.000,,2600000.0
,Jardim América,São Paulo,500,4,5,4,R$ 10.750.000,R$,10.750.000,,10750000.0
Rua Teviot,Vila Nova Conceição,São Paulo,692,4,8,3,R$ 11.990.000,R$,11.990.000,,11990000.0
,Parque Continental,São Paulo,153,4,2,4,R$ 900.000,R$,900.000,,900000.0
,Vila Antonieta,São Paulo,90,2,1,2,R$ 650.000,R$,650.000,,650000.0
Rua Pedro Zonta Neto,Cidade Monções,São Paulo,150,3,4,2,R$ 1.940.000,R$,1.940.000,,1940000.0
Rua Francisco de Lima,Jardim Maria Estela,São Paulo,253,3,4,8,R$ 790.000,R$,790.000,,790000.0
Rua Araçatuba,Vila Ipojuca,São Paulo,177,3,4,3,R$ 1.300.000,R$,1.300.000,,1300000.0
Rua João Moura,Pinheiros,São Paulo,187,3,1,2,R$ 2.700.000,R$,2.700.000,,2700000.0
"Rua Professor Luciano Gualberto, 282 ",Jardim Morumbi,São Paulo,600,4,6,2,R$ 2.900.000,R$,2.900.000,,2900000.0
"Rua Domingos Lopes, 510 ",Campo Belo,São Paulo,200,2,2,2,R$ 1.070.000,R$,1.070.000,,1070000.0
Rua George Ade,Brooklin,São Paulo,260,3,5,4,R$ 2.630.000,R$,2.630.000,,2630000.0
"Rua Vasconcelos Drumond, 224 ",Vila Monumento,São Paulo,145,3,1,4,R$ 1.300.000,R$,1.300.000,,1300000.0
Rua Ibiquara,Vila Ipojuca,São Paulo,210,3,3,2,R$ 1.500.000,R$,1.500.000,,1500000.0
Rua Veneza,Jardim Paulista,São Paulo,450,3,5,5,R$ 4.000.000,R$,4.000.000,,4000000.0
,Alto de Pinheiros,São Paulo,480,4,6,7,R$ 3.900.000,R$,3.900.000,,3900000.0
,Indianópolis,São Paulo,600,4,6,8,R$ 6.500.000,R$,6.500.000,,6500000.0
Rua Doutor Clemente Jobim,Jardim da Glória,São Paulo,150,3,2,2,R$ 900.000,R$,900.000,,900000.0
Rua Pero Correia,Vila Mariana,São Paulo,166,4,5,6,R$ 940.000,R$,940.000,,940000.0
Rua Carlos Baptista de Magalhães,Jardim Prudência,São Paulo,284,4,5,3,R$ 2.200.000,R$,2.200.000,,2200000.0
Rua Januário Miraglia,Vila Nova Conceição,São Paulo,225,3,4,3,R$ 4.500.000,R$,4.500.000,,4500000.0
Rua Basílio da Cunha,Vila Deodoro,São Paulo,195,3,2,3,R$ 1.280.000,R$,1.280.000,,1280000.0
Rua Doutor David Campista,Jardim Paulista,São Paulo,340,3,2,3,R$ 3.300.000,R$,3.300.000,,3300000.0
Rua Oliveira Melo,Vila São José (Ipiranga),São Paulo,314,3,4,6,R$ 1.300.000,R$,1.300.000,,1300000.0
,Morumbi,São Paulo,455,4,5,4,R$ 2.300.000,R$,2.300.000,,2300000.0
Rua Engenheiro Lauro Penteado,Vila Monumento,São Paulo,165,3,4,3,R$ 2.500.000,R$,2.500.000,,2500000.0
,Chácara Santo Antônio (Zona Sul),São Paulo,176,3,2,2,R$ 810.000,R$,810.000,,810000.0
,Jardim Paulista,São Paulo,922,4,6,8,R$ 16.000.000,R$,16.000.000,,16000000.0
Rua Kalil Nader Habr,Vila Santo Estéfano,São Paulo,175,4,3,3,R$ 720.000,R$,720.000,,720000.0
Rua Muriaé,Vila Dom Pedro I,São Paulo,175,2,2,4,R$ 1.000.000,R$,1.000.000,,1000000.0
Avenida da Aclimação,Aclimação,São Paulo,262,3,1,3,R$ 1.380.000,R$,1.380.000,,1380000.0
,Vila Progredior,São Paulo,320,4,4,6,R$ 3.000.000,R$,3.000.000,,3000000.0
Praça Cassiano Nogueira,Vila Mariana,São Paulo,650,4,1,8,R$ 3.200.000,R$,3.200.000,,3200000.0
Avenida Interlagos,Interlagos,São Paulo,95,3,3,2,R$ 750.000,R$,750.000,,750000.0
Rua Dona Inácia Uchôa,Vila Mariana,São Paulo,180,3,1,2,R$ 1.800.000,R$,1.800.000,,1800000.0
,Boaçava,São Paulo,350,4,5,4,R$ 3.600.000,R$,3.600.000,,3600000.0
Rua Manduri,Jardim Paulistano,São Paulo,220,4,2,3,R$ 2.200.000,R$,2.200.000,,2200000.0
Rua Ibaragui Nissui,Jardim Vila Mariana,São Paulo,380,4,6,4,R$ 2.130.000,R$,2.130.000,,2130000.0
"Rua Artur de Souza Marques, 322 ",Vila Tramontano,São Paulo,1000,4,6,6,R$ 8.600.000,R$,8.600.000,,8600000.0
,Jardim das Bandeiras,São Paulo,400,4,4,6,R$ 3.850.000,R$,3.850.000,,3850000.0
Rua Alexandre Buairide,Vila Mariana,São Paulo,280,4,2,4,R$ 1.600.000,R$,1.600.000,,1600000.0
Rua General Fonseca Teles,Jardim Paulista,São Paulo,422,4,7,4,R$ 7.500.000,R$,7.500.000,,7500000.0
Rua Baturité,Aclimação,São Paulo,165,3,4,1,R$ 800.000,R$,800.000,,800000.0
Rua dos Parecis,Cambuci,São Paulo,238,3,2,1,R$ 750.000,R$,750.000,,750000.0
Avenida Doutor Alberto Penteado,Jardim Sílvia (Zona Oeste),São Paulo,1500,8,4,6,R$ 19.000.000,R$,19.000.000,,19000000.0
,Vila Madalena,São Paulo,627,7,5,5,R$ 7.000.000,R$,7.000.000,,7000000.0
Rua Alabastro,Aclimação,São Paulo,220,3,3,2,R$ 1.100.000,R$,1.100.000,,1100000.0
,Boaçava,São Paulo,521,4,5,4,R$ 4.400.000,R$,4.400.000,,4400000.0
Rua César Guimarães,Jardim da Glória,São Paulo,310,3,2,4,R$ 1.700.000,R$,1.700.000,,1700000.0
Avenida Piassanguaba,Planalto Paulista,São Paulo,464,4,6,4,R$ 3.000.000,R$,3.000.000,,3000000.0
,Cidade Jardim,São Paulo,1430,4,8,12,R$ 20.000.000,R$,20.000.000,,20000000.0
Rua Dom Paulo Pedrosa,Real Parque,São Paulo,480,4,6,3,R$ 1.700.000,R$,1.700.000,,1700000.0
Rua Doutor Numa Pereira do Vale,Aclimação,São Paulo,300,3,3,1,R$ 2.200.000,R$,2.200.000,,2200000.0
Avenida Miruna,Indianópolis,São Paulo,96,3,2,2,R$ 700.000,R$,700.000,,700000.0
,Jardim Paulista,São Paulo,612,4,3,3,R$ 20.640.000,R$,20.640.000,,20640000.0
Rua Michigan,Cidade Monções,São Paulo,112,3,4,2,R$ 1.200.000,R$,1.200.000,,1200000.0
Rua Safira,Aclimação,São Paulo,220,3,4,2,R$ 1.600.000,R$,1.600.000,,1600000.0
Rua Descalvado,Sumaré,São Paulo,400,4,1,4,R$ 2.400.000,R$,2.400.000,,2400000.0
"Rua Pianú, 345 ",Vila Ida,São Paulo,527,5,3,8,R$ 2.970.000,R$,2.970.000,,2970000.0
Rua Itaperuna,Pacaembu,São Paulo,1000,3,7,4,R$ 11.990.000,R$,11.990.000,,11990000.0
Rua Coriolano Durand,Vila Santa Catarina,São Paulo,229,6,4,2,R$ 750.000,R$,750.000,,750000.0
Rua Mesquita,Vila Deodoro,São Paulo,130,3,2,1,R$ 980.000,R$,980.000,,980000.0
Rua Manduri,Jardim Paulistano,São Paulo,750,5,8,5,R$ 10.600.000,R$,10.600.000,,10600000.0
"Rua Mauro Dalay, 1 ",Conjunto Residencial Bandeirantes,São Paulo,450,4,3,2,R$ 750.000,R$,750.000,,750000.0
"Rua Leucina, 106 ",Cidade Vargas,São Paulo,190,3,1,2,R$ 620.000,R$,620.000,,620000.0
,Alto da Lapa,São Paulo,300,3,5,5,R$ 1.650.000,R$,1.650.000,,1650000.0
Rua Tchecoslováquia,Interlagos,São Paulo,300,3,5,4,R$ 1.390.000,R$,1.390.000,,1390000.0
Rua Paula Ney,Vila Mariana,São Paulo,350,4,2,4,R$ 4.500.000,R$,4.500.000,,4500000.0
Rua Industrial,Vila Bela,São Paulo,166,2,3,2,R$ 430.000,R$,430.000,,430000.0
Rua Frederico Von Martius,Vila Monumento,São Paulo,300,3,5,2,R$ 1.500.000,R$,1.500.000,,1500000.0
Rua das Camélias,Mirandópolis,São Paulo,124,3,3,2,R$ 860.000,R$,860.000,,860000.0
"Rua dos Otonis, 172 ",Vila Clementino,São Paulo,170,3,3,4,R$ 2.000.000,R$,2.000.000,,2000000.0
Rua Ministro Jesuíno Cardoso,Vila Nova Conceição,São Paulo,78,2,2,1,R$ 850.000,R$,850.000,,850000.0
Rua Engenheiro Artur Antunes Maciel,Cidade Domitila,São Paulo,152,3,4,2,R$ 510.000,R$,510.000,,510000.0
Rua Campina da Taborda,Planalto Paulista,São Paulo,238,3,4,4,R$ 2.200.000,R$,2.200.000,,2200000.0
Rua Teodoro Ramos,Pacaembu,São Paulo,250,3,3,2,R$ 2.700.000,R$,2.700.000,,2700000.0
Rua Gregório Serrão,Vila Mariana,São Paulo,320,3,3,1,R$ 1.850.000,R$,1.850.000,,1850000.0
,Santa Cecília,São Paulo,155,4,6,2,R$ 2.295.000,R$,2.295.000,,2295000.0
Alameda dos Guaicanãs,Planalto Paulista,São Paulo,202,2,3,2,R$ 800.000,R$,800.000,,800000.0
Rua Almirante Protógenes Guimarães,Ipiranga,São Paulo,136,3,1,2,R$ 770.000,R$,770.000,,770000.0
Rua Damiro de Oliveira Volpe,Vila Nova Conceição,São Paulo,64,2,2,2,R$ 2.350.000,R$,2.350.000,,2350000.0
Rua José do Patrocínio,Aclimação,São Paulo,210,3,3,5,R$ 850.000,R$,850.000,,850000.0
,Jardim Eliana,São Paulo,125,2,2,2,R$ 250.000,R$,250.000,,250000.0
Rua dos Jacintos,Mirandópolis,São Paulo,90,2,1,1,R$ 640.000,R$,640.000,,640000.0
"Rua São Gall, 6 ",Vila Ipojuca,São Paulo,250,3,3,4,R$ 1.200.000,R$,1.200.000,,1200000.0
Rua Gabriel Sylvestre Teixeira de Carvalho,Jardim Cordeiro,São Paulo,538,3,4,8,R$ 5.800.000,R$,5.800.000,,5800000.0
Rua Euclides de Andrade,Jardim Vera Cruz,São Paulo,80,2,2,2,R$ 1.100.000,R$,1.100.000,,1100000.0
"Avenida Piassanguaba, 2 ",Planalto Paulista,São Paulo,296,4,5,5,R$ 2.500.000,R$,2.500.000,,2500000.0
Rua Hamilton Prado,Chácara Belenzinho,São Paulo,180,2,2,10,R$ 580.000,R$,580.000,,580000.0
Travessa Doutor Ezequiel Antunes de Oliveira,Vila Olímpia,São Paulo,170,3,4,3,R$ 2.600.000,R$,2.600.000,,2600000.0
Rua Bastos Pereira,Vila Nova Conceição,São Paulo,152,3,4,2,R$ 3.000.000,R$,3.000.000,,3000000.0
Rua Nestor Moreira,Jardim da Glória,São Paulo,275,3,2,6,R$ 2.800.000,R$,2.800.000,,2800000.0
,Vila Madalena,São Paulo,488,4,5,3,R$ 2.950.000,R$,2.950.000,,2950000.0
Rua Bernardo Sanches,Real Parque,São Paulo,700,4,4,6,R$ 2.200.000,R$,2.200.000,,2200000.0
"Rua Doutor José Maria Whitaker, 0 ",Vila Sônia,São Paulo,264,3,3,2,R$ 1.500.000,R$,1.500.000,,1500000.0
,Paraíso do Morumbi,São Paulo,180,3,3,2,R$ 850.000,R$,850.000,,850000.0
,Sumaré,São Paulo,375,3,4,2,R$ 1.800.000,R$,1.800.000,,1800000.0
Rua Odair Pimentel,Parque dos Príncipes,São Paulo,160,4,4,3,R$ 1.198.000,R$,1.198.000,,1198000.0
Avenida Professor Rubens Gomes de Souza,Jardim Cordeiro,São Paulo,365,4,3,3,R$ 2.400.000,R$,2.400.000,,2400000.0
,Sumarezinho,São Paulo,110,3,2,3,R$ 1.915.000,R$,1.915.000,,1915000.0
,Vila Olímpia,São Paulo,200,2,3,2,R$ 2.900.000,R$,2.900.000,,2900000.0
Alameda dos Indígenas,Planalto Paulista,São Paulo,280,3,4,3,R$ 1.290.000,R$,1.290.000,,1290000.0
Rua Oquirá,Alto de Pinheiros,São Paulo,430,4,6,4,R$ 5.000.000,R$,5.000.000,,5000000.0
Rua Ribeiro do Vale,Brooklin Paulista,São Paulo,205,3,5,5,R$ 2.150.000,R$,2.150.000,,2150000.0
Rua Doutor Mário Freire,Retiro Morumbi,São Paulo,442,4,5,3,R$ 2.800.000,R$,2.800.000,,2800000.0
,Jardim Paulistano,São Paulo,400,5,4,2,R$ 7.500.000,R$,7.500.000,,7500000.0
Rua São José,Santo Amaro,São Paulo,430,2,4,4,R$ 3.000.000,R$,3.000.000,,3000000.0
Rua Bauru,Pacaembu,São Paulo,250,4,3,3,R$ 2.900.000,R$,2.900.000,,2900000.0
"Rua Coronel Camisão, 348 ",Vila Gomes,São Paulo,167,4,5,3,R$ 690.000,R$,690.000,,690000.0
Rua Pereira da Nóbrega,Vila Monumento,São Paulo,149,3,2,3,R$ 1.380.000,R$,1.380.000,,1380000.0
Rua Felício Elias,Aclimação,São Paulo,104,2,1,1,R$ 900.000,R$,900.000,,900000.0
Rua Honduras,Jardim Paulista,São Paulo,250,3,5,5,R$ 3.200.000,R$,3.200.000,,3200000.0
"Rua Artur Andrade, 64 ",Vila Marari,São Paulo,90,2,5,2,R$ 440.000,R$,440.000,,440000.0
,Vila Suzana,São Paulo,110,2,2,2,R$ 540.000,R$,540.000,,540000.0
,Jardim Paulistano,São Paulo,220,3,5,3,R$ 2.800.000,R$,2.800.000,,2800000.0
Rua Capitão Otávio Machado,Chácara Santo Antônio (Zona Sul),São Paulo,223,4,4,3,R$ 1.250.000,R$,1.250.000,,1250000.0
,Vila Leopoldina,São Paulo,150,2,2,1,R$ 580.000,R$,580.000,,580000.0
Rua Professor Tranquilli,Vila Mariana,São Paulo,250,4,8,4,R$ 2.200.000,R$,2.200.000,,2200000.0
Avenida Conselheiro Rodrigues Alves,Vila Mariana,São Paulo,300,4,4,2,R$ 2.100.000,R$,2.100.000,,2100000.0
,Cidade Jardim,São Paulo,450,4,5,4,R$ 2.200.000,R$,2.200.000,,2200000.0
Rua Albina Barbosa,Aclimação,São Paulo,130,2,3,2,R$ 1.100.000,R$,1.100.000,,1100000.0
Rua Eça de Queiróz,Vila Mariana,São Paulo,498,3,5,4,R$ 3.845.000,R$,3.845.000,,3845000.0
Rua Carlos Tiago Pereira,Bosque da Saúde,São Paulo,113,3,3,3,R$ 790.000,R$,790.000,,790000.0
Avenida Lacerda Franco,Cambuci,São Paulo,260,3,3,2,R$ 980.000,R$,980.000,,980000.0
Rua Petrópolis,Sumaré,São Paulo,455,4,5,4,R$ 2.970.000,R$,2.970.000,,2970000.0
,Santo Amaro,São Paulo,695,4,7,4,R$ 4.850.000,R$,4.850.000,,4850000.0
Rua Vítor Dubugras,Jardim da Glória,São Paulo,233,3,5,5,R$ 1.200.000,R$,1.200.000,,1200000.0
Rua Bamboré,Ipiranga,São Paulo,128,3,1,2,R$ 850.000,R$,850.000,,850000.0
Rua Xavier de Almeida,Ipiranga,São Paulo,165,3,2,2,R$ 975.000,R$,975.000,,975000.0
"Rua Antônio de Castro Mendonça Furtado, 373 ",Conjunto Residencial Butantã,São Paulo,140,3,3,2,R$ 750.000,R$,750.000,,750000.0
Rua Clementine Brenne,Paraisópolis,São Paulo,220,3,2,2,R$ 800.000,R$,800.000,,800000.0
Rua Leucina,Cidade Vargas,São Paulo,190,3,1,2,R$ 620.000,R$,620.000,,620000.0
Rua Teodureto Souto,Cambuci,São Paulo,180,3,2,2,R$ 1.000.000,R$,1.000.000,,1000000.0
Rua Ubaíra,Indianópolis,São Paulo,188,4,2,4,R$ 1.980.000,R$,1.980.000,,1980000.0
Rua Gama Cerqueira,Cambuci,São Paulo,169,3,3,4,R$ 1.250.000,R$,1.250.000,,1250000.0
Rua Tomé de Souza,Lapa,São Paulo,300,4,4,10,R$ 2.900.000,R$,2.900.000,,2900000.0
,Morumbi,São Paulo,370,3,4,3,R$ 1.500.000,R$,1.500.000,,1500000.0
Avenida Roberto Lorenz,Jardim Guedala,São Paulo,500,4,5,7,R$ 4.500.000,R$,4.500.000,,4500000.0
Rua Luís Pereira de Almeida,Jardins,São Paulo,400,4,3,8,R$ 2.700.000,R$,2.700.000,,2700000.0
Avenida Jamaris,Planalto Paulista,São Paulo,410,3,2,2,R$ 4.920.000,R$,4.920.000,,4920000.0
Rua Gonçalves CreSão Pauloo,Tatuapé,São Paulo,220,3,1,4,R$ 1.250.000,R$,1.250.000,,1250000.0
Rua José Bento,Cambuci,São Paulo,160,3,3,1,R$ 930.000,R$,930.000,,930000.0
Rua Guadelupe,Jardim América,São Paulo,800,4,4,5,R$ 14.000.000,R$,14.000.000,,14000000.0
Rua Januário Miraglia,Vila Nova Conceição,São Paulo,270,4,3,2,R$ 2.800.000,R$,2.800.000,,2800000.0
Rua Mariano Procópio,Vila Monumento,São Paulo,180,4,5,2,R$ 1.230.000,R$,1.230.000,,1230000.0
,Jardim América,São Paulo,624,4,8,5,R$ 15.000.000,R$,15.000.000,,15000000.0
Rua Mariano Procópio,Vila Monumento,São Paulo,600,5,5,5,R$ 900.000,R$,900.000,,900000.0
Rua Silveira da Mota,Cambuci,São Paulo,480,3,1,1,R$ 1.400.000,R$,1.400.000,,1400000.0
Rua Bernardo Sanches,Real Parque,São Paulo,533,4,5,6,R$ 2.200.000,R$,2.200.000,,2200000.0
Rua GaSão Pauloar Fernandes,Vila Monumento,São Paulo,160,2,1,1,R$ 700.000,R$,700.000,,700000.0
,Jardim Europa,São Paulo,700,3,6,4,R$ 12.500.000,R$,12.500.000,,12500000.0
,Jardim Leonor,São Paulo,373,3,4,4,R$ 2.350.000,R$,2.350.000,,2350000.0
Rua Coronel Irlandino Sandoval,Jardim Paulistano,São Paulo,390,4,5,5,R$ 4.500.000,R$,4.500.000,,4500000.0
Rua Armando Pinto,Sumarezinho,São Paulo,180,3,2,6,R$ 1.470.000,R$,1.470.000,,1470000.0
